

  default power settings:


=== Benchmarking multiTask ===
[04/23/2026-11:22:15] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
Avg inference time: 9.73 ms
FPS: 102.77
Avg actual time: -9.73 ms
avg actual fps: -102.77
individual runs:
from start time: 1776914538097.90 ms
run 52 | start time: 696.92 ms | finish: 710.27
run 53 | start time: 710.27 ms | finish: 723.65
run 54 | start time: 723.65 ms | finish: 736.99
run 55 | start time: 736.99 ms | finish: 751.50
run 56 | start time: 751.50 ms | finish: 765.79
run 57 | start time: 765.79 ms | finish: 779.13
run 58 | start time: 779.13 ms | finish: 792.45
run 59 | start time: 792.45 ms | finish: 805.87
run 60 | start time: 805.87 ms | finish: 817.52
run 61 | start time: 817.52 ms | finish: 828.18
run 62 | start time: 828.18 ms | finish: 838.87
run 63 | start time: 838.87 ms | finish: 849.62
run 64 | start time: 849.62 ms | finish: 860.29
run 65 | start time: 860.29 ms | finish: 871.09
run 66 | start time: 871.09 ms | finish: 881.89
run 67 | start time: 881.89 ms | finish: 892.57
run 68 | start time: 892.57 ms | finish: 903.35
run 69 | start time: 903.35 ms | finish: 914.00
run 70 | start time: 914.00 ms | finish: 924.67
run 71 | start time: 924.67 ms | finish: 935.43
run 72 | start time: 935.43 ms | finish: 946.10
run 73 | start time: 946.10 ms | finish: 957.27
run 74 | start time: 957.27 ms | finish: 968.85
run 75 | start time: 968.85 ms | finish: 979.66
run 76 | start time: 979.66 ms | finish: 990.46
run 77 | start time: 990.46 ms | finish: 1001.32
run 78 | start time: 1001.32 ms | finish: 1012.82
run 79 | start time: 1012.82 ms | finish: 1024.19
run 80 | start time: 1024.19 ms | finish: 1035.11
run 81 | start time: 1035.11 ms | finish: 1045.83
run 82 | start time: 1045.83 ms | finish: 1056.55
run 83 | start time: 1056.55 ms | finish: 1067.30
run 84 | start time: 1067.30 ms | finish: 1077.96
run 85 | start time: 1077.96 ms | finish: 1088.62
run 86 | start time: 1088.62 ms | finish: 1099.35
run 87 | start time: 1099.35 ms | finish: 1109.99
run 88 | start time: 1109.99 ms | finish: 1120.61
run 89 | start time: 1120.61 ms | finish: 1136.58
run 90 | start time: 1136.58 ms | finish: 1154.30
run 91 | start time: 1154.30 ms | finish: 1165.29
run 92 | start time: 1165.29 ms | finish: 1176.09
run 93 | start time: 1176.09 ms | finish: 1186.75
run 94 | start time: 1186.75 ms | finish: 1197.44
